ID,Priority Value,Flags,How to handle busy,Dialogue Script,Falg Value Changes,Archer Arrow Changes
Debug_000,0,,CANCEL,"Sorcerer: Testing 0
Mage: Testing 1
Demon_Spirit: Testing 2
Demon_Boss: Testing 3
Smith: Testing 4
Servant: Testing 5
Narration: Testing 6",,
Mage_000,1,,CANCEL,"Mage: I see you've failed again, sorcerer. Be thankful I maintained your teleportation sigils.
Mage: You would have perished in the ruins, though perhaps you were already gone when you summoned it in the first place.",,
Mage_001,0,,CANCEL,"Mage: Have you considered using demonic powers may just be making the demon stronger?
Sorcerer: It comes about more, but that experience is more useful in the ruins fighting monsters than throwing my out the window of my studies.
Mage: I'm aware. I saw it myself. That your master didn't disown you eludes understanding.
Sorcerer: My master isn't one to grandstand like you are, mage. His only dissaproval was that I did it wrong.
Mage: Your hubris astounds me, sorcerer.",,
Mage_002,,,,,,
Mage_003,,,,,,
Mage_004,,,,,,
Mage_005,,,,,,
Mage_006,,,,,,
Mage_007,,,,,,
Mage_008,,,,,,
Mage_009,,,,,,
Mage_010,,,,,,
Mage_011,,,,,,
Mage_012,,,,,,
Mage_013,,,,,,
Mage_014,,,,,,
Mage_015,,,,,,
Mage_016,,,,,,
Mage_017,,,,,,
Mage_018,,,,,,
Mage_019,,,,,,
Mage_020,,,,,,
Mage_021,,,,,,
Mage_022,,,,,,
Mage_023,,,,,,
Mage_024,,,,,,
Mage_025,,,,,,
Mage_026,,,,,,
Mage_027,,,,,,
Mage_028,,,,,,
Mage_029,,,,,,
Mage_030,,,,,,
Mage_031,,,,,,
Mage_032,,,,,,
Mage_033,,,,,,
Mage_034,,,,,,
Mage_035,,,,,,
Mage_036,,,,,,
Mage_037,,,,,,
Mage_038,,,,,,
Mage_039,,,,,,
Mage_040,,,,,,
Mage_041,,,,,,
Mage_042,,,,,,
Mage_043,,,,,,
Mage_044,,,,,,
Mage_045,,,,,,
Mage_046,,,,,,
Mage_047,,,,,,
Mage_048,,,,,,
Mage_049,,,,,,
Mage_050,,,,,,
Mage_051,,,,,,
Mage_052,,,,,,
Mage_053,,,,,,
Mage_054,,,,,,
Mage_055,,,,,,
Mage_056,,,,,,
Mage_057,,,,,,
Mage_058,,,,,,
Mage_059,,,,,,
Mage_060,,,,,,
Mage_061,,,,,,
Mage_062,,,,,,
Mage_063,,,,,,
Mage_064,,,,,,
Mage_065,,,,,,
Mage_066,,,,,,
Mage_067,,,,,,
Mage_068,,,,,,
Mage_069,,,,,,
Mage_070,,,,,,
Mage_071,,,,,,
Mage_072,,,,,,
Mage_073,,,,,,
Mage_074,,,,,,
Mage_075,,,,,,
Mage_076,,,,,,
Mage_077,,,,,,
Mage_078,,,,,,
Mage_079,,,,,,
Mage_080,,,,,,
Mage_081,,,,,,
Mage_082,,,,,,
Mage_083,,,,,,
Mage_084,,,,,,
Mage_085,,,,,,
Mage_086,,,,,,
Mage_087,,,,,,
Mage_088,,,,,,
Mage_089,,,,,,
Mage_090,,,,,,
Mage_091,,,,,,
Mage_092,,,,,,
Mage_093,,,,,,
Mage_094,,,,,,
Mage_095,,,,,,
Mage_096,,,,,,
Mage_097,,,,,,
Mage_098,,,,,,
Mage_099,,,,,,
Mage_100,,,,,,
Mage_101,,,,,,
Mage_102,,,,,,
Mage_103,,,,,,
Mage_104,,,,,,
Mage_105,,,,,,
Mage_106,,,,,,
Mage_107,,,,,,
Mage_108,,,,,,
Mage_109,,,,,,
Mage_110,,,,,,
Mage_111,,,,,,
Mage_112,,,,,,
Mage_113,,,,,,
Mage_114,,,,,,
Mage_115,,,,,,
Mage_116,,,,,,
Mage_117,,,,,,
Mage_118,,,,,,
Mage_119,,,,,,
Mage_120,,,,,,
Mage_121,,,,,,
Mage_122,,,,,,
Mage_123,,,,,,
Mage_124,,,,,,
Servant_000,2,Servant_State = Default,,"Servant: H-hello, young sir! Your master certainly believes in you, even if he's not here to show it himself.",,
Servant_001,1,"Servant_State = Default, Cause_Of_Death = Triclops",QUEUE,"Servant: Triclops that did it, was it? Ah, yes, my kind may be only of the first two planes, but against ill-prepared humans, that's more than enough.
Servant: N-not that you're ill-prepared, of course.",,
Servant_002,1,"Servant_State = Default, Cause_Of_Death = Blob",QUEUE,"Servant: What was it this time, young sir? An amorphous blob? Hmm. Most interesting.",,"Servant
Servant_003"
Servant_003,2,Servant_State = Default,,"Servant: I found more information on that enemy you came across in the ruins, young sir. 
Servant: The ruins here have a unique property, of forcing demons who pass though here to phase into the material, first plane.
Servant: However, sometimes a demon will attempt to leave, either through returning to their realm or by exiting the ruins. This is their mistake. 
Servant: Unable to leave the material form, but boiling their essence in the attempt, these creatures melt into a viscus.",,
Servant_004,1,"Servant_State = Default, Cause_Of_Death = Cacodemon",QUEUE,"Servant: Ah, the cacodemon. It's been a long time since I've had the displeasure of meeting one.",,
