ID,Priority Value,Flags,How to handle busy,Debug Message,Log Type,Time (s)
Test_Debug_000,0,"Concept = Life, TrueA, !FalseA, 100 > Op >0, EQ = 0, 100 >= Cl >= 50, 50 > OC >= 0, 50 >= CO >0, WHO = Marcus",CANCEL,Test 0,DEFAULT,2
Test_Debug_001,0,"Concept = Life, TrueA,TrueB_1, !FalseA,!FalseB_1, WHO = Marcus",QUEUE,Test 1,DEFAULT,2
Test_Debug_002,3,"Concept = MomDad, TrueA,TrueB_2, !FalseA,WHO = Liam,!FalseB_2",INTERRUPT,Test 2,ERROR,2
Test_Debug_003,2,"Concept = Reloading, TrueA,TrueB_3, !FalseA,!FalseB_3",DELETE,Test 3,DEFAULT,2
Test_Debug_004,1,"Concept = Reloading, TrueA,TrueB_4, !FalseA,!FalseB_4",FRONT_OF_QUEUE,Test 4,WARNING,2
Test_Debug_005,1 + COND,"Concept = Idle, TrueA,TrueB_4, !FalseA,!FalseB_4",FRONT_OF_QUEUE,Test 5,DEFAULT,2
Test_Debug_006,COND,"Concept = Idle, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_4",QUEUE,Test 6,DEFAULT,2
Test_Debug_007,1,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_4",QUEUE,Test 7,DEFAULT,2
Test_Debug_008,1,"Concept = Idle, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_4",QUEUE,Test 8,WARNING,2
Test_Debug_009,1,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_4",QUEUE,Test 9,DEFAULT,2
Test_Debug_010,1,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_5",QUEUE,Test 10,DEFAULT,2
Test_Debug_011,COND,"Concept = Life, Who = Donisi, TrueA,TrueB_4, !FalseA,!FalseB_6",QUEUE,Test 11,DEFAULT,2
Test_Debug_012,1,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_7",QUEUE,Test 12,DEFAULT,2
Test_Debug_013,1,"Concept = Life, Who = Marcus, TrueA,TrueB_4, !FalseA,!FalseB_8",QUEUE,Test 13,DEFAULT,2
Test_Debug_014,0,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_6",QUEUE,Test 14,WARNING,2
Test_Debug_015,0,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_7",QUEUE,Test 15,DEFAULT,2
Test_Debug_016,0,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_8",QUEUE,Test 16,ERROR,2
Test_Debug_017,0,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_9",QUEUE,Test 17,DEFAULT,2
Test_Debug_018,0,"Concept = Life, Who = Marcus, TrueA,TrueB_4, !FalseA,!FalseB_9",QUEUE,Test 18,DEFAULT,2
Test_Debug_019,0,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_8",QUEUE,Test 19,DEFAULT,2
Test_Debug_020,0,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_9",QUEUE,Test 20,WARNING,2
Test_Debug_021,0,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_10",QUEUE,Test 21,ERROR,2
Test_Debug_022,0,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_11",QUEUE,Test 22,DEFAULT,2
Test_Debug_023,0,"Concept = Life, Who = Marcus, TrueA,TrueB_4, !FalseA,!FalseB_10",QUEUE,Test 23,ERROR,2
Test_Debug_024,2,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_10",QUEUE,Test 24,DEFAULT,2
Test_Debug_025,2,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_11",QUEUE,Test 25,WARNING,2
Test_Debug_026,2,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_12",QUEUE,Test 26,DEFAULT,2
Test_Debug_027,2,"Concept = Life, Who = Liam, TrueA,TrueB_4, !FalseA,!FalseB_13",QUEUE,Test 27,ERROR,2
Test_Debug_028,2,"Concept = Life, Who = Marcus, TrueA,TrueB_4, !FalseA,!FalseB_11",QUEUE,Test 28,DEFAULT,2
Test_Debug_029,2,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_12",QUEUE,Test 29,DEFAULT,2
Test_Debug_030,2,"Concept = Life, Who = Nick, TrueA,TrueB_4, !FalseA,!FalseB_13",QUEUE,Test 30,ERROR,2
Test_Debug_031,2,"TrueA, Who = Bob, !FalseA, Gr > 0,Eq = 5,  Le < 4, GE >= 5, LE<= 5, 100 > Op >0, 100 >= Cl >= 50, 50 > OC >= 0, 50 >= CO >0",QUEUE,Test 31,DEFAULT,2
END,,,,,,
